prompt,Data_address,Label,Related,Problem Type
"In the construction industry, we have three managers named Managers A, B, and C, who need to be allocated to three construction projects, named Projects 1, 2, and 3. Each manager incurs different costs for each project, based on their experience and expertise. Manager A__ costs are c_11 dollars for Project 1, c_12 dollars for Project 2, and c_13 dollars for Project 3. Manager B__ costs are c_21 dollars for Project 1, c_22 dollars for Project 2, and c_23 dollars for Project 3. Manager C__ costs are c_31 dollars for Project 1, c_32 dollars for Project 2, and c_33 dollars for Project 3. The objective is to find the optimal assignment that minimizes the total cost of completing all projects. Each manager should be assigned to the project  their cost is the lowest, ensuring each project is managed by only one manager, and each manager handles only one project. Let b_11, b_12, b_13 be 1 if Projects 1, 2, and 3 are assigned to Manager A, respectively, and 0 otherwise. Let b_21, b_22, b_23 be 1 if Projects 1, 2, and 3 are assigned to Manager B, respectively, and 0 otherwise. Lastly, let b_31, b_32, b_33 be 1 if Projects 1, 2, and 3 are assigned to Manager C, respectively, and 0 otherwise.Costs: c_11 = 3000, c_12 = 3200, c_13 = 3100; c_21 = 2800, c_22 = 3300, c_23 = 2900; c_31 = 2900, c_32 = 3100, c_33 = 3000.",,"min 3000b_11 + 3200b_12 + 3100b_13 + 2800b_21 + 3300b_22 + 2900b_23 + 2900b_31 + 3100b_32 + 3000b_33
subject to 
    b_11 + b_12 + b_13 = 1
    b_21 + b_22 + b_23 = 1
    b_31 + b_32 + b_33 = 1
    b_11 + b_21 + b_31 = 1
    b_12 + b_22 + b_32 = 1
    b_13 + b_23 + b_33 = 1
    b_11, b_12, b_13, b_21, b_22, b_23, b_31, b_32, b_33 ∈ {{{{0, 1}}",,Others without CSV - assignment problem
"We have three event planners named Planners A, B, and C. They need to be assigned to three distinct events, labeled Events 1, 2, and 3. Each planner incurs different costs to manage each event, reflecting their creativity and efficiency. Planner A__ costs are c_11 dollars for Event 1, c_12 dollars for Event 2, and c_13 dollars for Event 3. Planner B__ costs are c_21 dollars for Event 1, c_22 dollars for Event 2, and c_23 dollars for Event 3. Planner C__ costs are c_31 dollars for Event 1, c_32 dollars for Event 2, and c_33 dollars for Event 3. Our goal is to assign planners to events in a way that minimizes the total cost, ensuring each event is assigned to only one planner, and each planner handles only one event. Let c_11, c_12, c_13 be 1 if Events 1, 2, and 3 are assigned to Planner A, respectively, and 0 otherwise. Let c_21, c_22, c_23 be 1 if Events 1, 2, and 3 are assigned to Planner B, respectively, and 0 otherwise. Let c_31, c_32, c_33 be 1 if Events 1, 2, and 3 are assigned to Planner C, respectively, and 0 otherwise.Costs: c_11 = 1500, c_12 = 1700, c_13 = 1600; c_21 = 1400, c_22 = 1800, c_23 = 1500; c_31 = 1300, c_32 = 1600, c_33 = 1700.",,"min 1500x_11 + 1700x_12 + 1600x_13 + 1400x_21 + 1800x_22 + 1500x_23 + 1300x_31 + 1600x_32 + 1700x_33
subject to
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    x_11 + x_21 + x_31 = 1
    x_12 + x_22 + x_32 = 1
    x_13 + x_23 + x_33 = 1
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{{{0,1}}",,Others without CSV - assignment problem
"In a city, there are three warehouse distribution centers A, B and C, capable of supplying goods to two supermarket branches X and Y. Each distribution center incurs a fixed cost, denoted by f_1, f_2, and f_3, respectively. The branches have specific product demands that must be met by the distributioncenters. For branch X, the transportation cost per unit of goods from distribution centers A, B, and C is c_11, c_12, and c_13 respectively. Similarly, for branch Y, the transportation costs from distribution centers A, B, and C are c_21, c_22, and c_23 respectively. Each distribution center has a maximum capacity,denoted by k_1, k_2, and k_3, which limits the total amount of goods they can supply. The objective is to determine which distribution centers to open so that the demand of both supermarket branches is met while minimizing the total cost, including both the fixed cost of operating the centers and the transportation cost of delivering the goods. The decision variables y_1, y_2, and y_3 are binary and indicate whether centers are operational. The decision variables x_11, x_12, and x_13 represent the amount of goods that branch X receives from distribution centers A, B, and C. Similarly, x_21, x_22, and x_23 represent the amount of goods thatbranch Y receives from the centers.fixed costs for the centers: f_1=15,f_2=20,f_3=18;
transportation costs per unit of goods: c_11 = 5, c_12 =7,c_13 = 6; c_21 =4,c_22=6, c_23 = 5;
capacity of the centers: k_1= 100, k_2= 150, k_3= 120.",,"min 15y_1 + 20y_2 + 18y_3 + 5x_11 + 7x_12 + 6x_13 + 4x_21 + 6x_22 + 5x_23
subject to
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    -y_3 + x_13 <= 0
    -y_3 + x_23 <= 0
    x_11 + x_21 <= 100
    x_12 + x_22 <= 150
    x_13 + x_23 <= 120
    y_1, y_2, y_3 ∈ {{{{0,1}} and x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,Others without CSV - Capacitated Facility Location Problem
"In a region, there are three medical centers A, B and C that provide emergency medical resources to two emergency medical service points X and Y. Each medical center incurs an operational fixed cost f_1, f_2 and f_3. Each emergency medical service point has specific resource demands that must be met by the centers. The transportation costs per unit of resources from each medical center to each emergency service point are c_11, c_12, c_13 to X and c_21, c_22, c_23 to Y. Each medical center has a capacity, denoted by k_1, k_2, and k_3. The objective is to determine which centers to open and how to allocate resources while minimizing total costs, including fixed costs and transportation costs. The decision variables y_1, y_2, and y_3 are binary and indicate whether medical centers A, B, and C are operational. The decision variables x_11, x_12, x_13 represent the quantity of resources supplied from each medical center to X. Similarly, x_21, x_22, x_23 represent the quantity of resources supplied to Y.



fixed costs for the centers: f_1=12, f_2=15, f_3=10;
transportation costs per unit of goods: c_11=5, c_12=6, c_13=7; c_21=8, c_22=4, c_23=6;
capacity of the centers: k_1=200, k_2=250, k_3=180.",,"min 12y_1 + 15y_2 + 10y_3 + 5x_11 + 6x_12 + 7x_13 + 8x_21 + 4x_22 + 6x_23
subject to
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    -y_1 + x_11 <= 0
    -y_2 + x_12 <= 0
    -y_3 + x_13 <= 0
    -x_11 + x_21 <= 0
    -x_12 + x_22 <= 0
    -x_13 + x_23 <= 0
    x_11 + x_21 <= 200
    x_12 + x_22 <= 250
    x_13 + x_23 <= 180
    y_1, y_2, y_3 ∈ {{{{0, 1}} 
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,Others without CSV - Capacitated Facility Location Problem
"Within a bustling metropolitan area, there exist three distribution centers, namely Center A, Center B, and Center C, responsible for distributing luxury fashion products. Each center has a maximum distribution capacity, denoted by k_1 , k_2 , and k_3 , respectively. Nearby, there are three flagship retail stores, Store X, Store Y, and Store Z, each requiring a specific amount of fashion products. Each distribution center incurs a fixed cost, denoted by f_1 , f_2 , and f_3 , when operational. Store X has transportation costs per unit of fashion products from Center A, Center B, and Center C, denoted as t_11, t_12 , and t_13 , respectively. Similarly, Store Y and Store Z have transportation costs per unit from Center A, Center B, and Center C, denoted as t_21, t_22 , t_23 and t_31 , t_32, t_33, respectively.The objective is to determine which distribution centers should be operational (open) and how much fashion products should be supplied from each center to each store to meet the demand while minimizing the total cost, considering the capacity constraints. The decision variables y_1 , y_2 , and y_3 are binary variables indicating whether Center A, Center B, and Center C are operational (open). The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, and x_33 represent the quantities of fashion products supplied from Center A, Center B, and Center C to Stores X, Y, and Z, respectively.fixed costs for the centers: f_1 = 48, f_2 = 55, f_3 = 86; 
transportation costs per unit of electronics: c_11 = 22, c_12 = 21, c_13 = 19; c_21 = 11, c_22 = 12, c_23 = 14,c_31 = 9, c_32 = 10, c_33 = 11; 
capacity of the centers: k_1 = 650, k_2 = 800, k_3 = 580.",,"min 48y_1 + 55y_2 + 86y_3 + 22x_11 + 21x_12 + 19x_13 + 11x_21 + 12x_22 + 14x_23 + 9x_31 + 10x_32 + 11x_33
subject to 
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_1 + x_31 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    -y_2 + x_32 <= 0
    -y_3 + x_13 <= 0
    -y_3 + x_23 <= 0
    -y_3 + x_33 <= 0
    y_1 + y_3 + y_3 <= 650
    x_11 + x_22 + x_32 <= 800
    x_13 + x_23 + x_33 <= 580 
    y_1, y_2, y_3 ∈ {{0,1}}}}
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ R+",,Others without CSV - Capacitated Facility Location Problem
"Within a vibrant metropolitan area, there exist three distribution centers, namely Cellar A, Cellar B, and Cellar C, responsible for distributing premium wines. Each cellar has a maximum distribution capacity, denoted by k_1 , k_2 , and k_3 , respectively. Nearby, there are three upscale wine shops, Shop X, Shop Y, and Shop Z, each requiring a specific quantity of wines. Each distribution center incurs a fixed cost, denoted by f_1 , f_2 , and f_3 , when operational. Shop X has transportation costs per unit of wine from Cellar A, Cellar B, and Cellar C, denoted as t_11 , t_12 , and t_13 , respectively. Similarly, Shop Y and Shop Z have transportation costs per unit from Cellar A, Cellar B, and Cellar C, denoted as t_21, t_22 , t_23 and t_31 , t_32, t_33, respectively.The objective is to determine which distribution centers should be operational (open) and how much wine should be supplied from each cellar to each shop to meet the demand while minimizing the total cost, considering the capacity constraints. The decision variables y_1 , y_2 , and y_3 are binary variables indicating whether Cellar A, Cellar B, and Cellar C are operational (open). The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, and x_33 represent the quantities of wine supplied from Cellar A, Cellar B, and Cellar C to Shops X, Y, and Z, respectively.fixed costs for the centers: f_1 = 68, f_2 = 77, f_3 = 56; 
transportation costs per unit of electronics: c_11 = 32, c_12 = 27, c_13 = 29; c_21 = 19, c_22 = 16, c_23 = 14,c_31 = 9, c_32 = 18, c_33 = 11; 
capacity of the centers: k_1 = 680, k_2 = 820, k_3 = 480.",,"min 68y_1 + 77y_2 + 56y_3 + 32x_11 + 27x_12 + 29x_13 + 19x_21 + 16x_22 + 14x_23 + 9x_31 + 18x_32 + 11x_33
subject to 
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    -y_1 + x_11 <= 0
    -y_1 + x_21 <= 0
    -y_1 + x_31 <= 0
    -y_2 + x_12 <= 0
    -y_2 + x_22 <= 0
    -y_2 + x_32 <= 0
    -y_3 + x_13 <= 0
    -y_3 + x_23 <= 0
    -y_3 + x_33 <= 0
    x_11 + x_21 + x_31 <=680
    x_12 + x_22 + x_32 <=820
    x_13 + x_23 + x_33 <=480
    y_1,y_2,y_3 ∈ {{0,1}}}}  x_11,x_12,x_13,x_21,x_22,x_23,x_31,x_32,x_33 ∈ R+",,Others without CSV - Capacitated Facility Location Problem
"A fitness company offers five different online fitness courses: yoga, aerobic exercise, strength training, dance, and meditation. Each course has its specific user satisfaction, operating cost, required number of coaches, and required number of equipment. Your task is to determine the schedule for each course to maximize user satisfaction while minimizing operating costs. The detailed data is as follows: | Course | User Satisfaction | Operating Cost ($/hour) | Required Number of Coaches | Required Number of Equipment | |---------------|------------------|------------------------|---------------------------|-----------------------------| | Yoga | 90 | 500 | 10 | 5 | | Aerobic Exercise | 80 | 400 | 8 | 4 | | Strength Training | 85 | 450 | 9 | 4 | | Dance | 70 | 350 | 7 | 3 | | Meditation | 75 | 400 | 8 | 4 | The company operates for 8 hours per day and has 50 coaches and 20 equipment available for allocation. The schedule for each course needs to be in whole numbers of hours. How should the optimal course schedule be formulated, taking into account all the objectives and constraints? # Response:",,"min 410x_1 + 320x_2 + 365x_3 + 280x_4 + 325x_5
10x_1 + 8x_2 + 9x_3 + 7x_4 + 8x_5 ≤ 50
5x_1 + 4x_2 + 4x_3 + 3x_4 + 4x_5 ≤ 20
x_1 + x_2 + x_3 + x_4 + x_5 ≤ 8
x_1, x_2, x_3, x_4, x_5 ∈ Z+",,Others without CSV - Knapsack Problem
"An organization producing three different products, viz. A, B, and C, has three operators, viz. P, Q, and R, who are capable of producing any of the three products. Operator P can produce u_11, u_12, and u_13 units of product A, B, and C, respectively. Operator Q can produce u_21, u_22, and u_23 units of product A, B, and C, respectively. Operator R can produce u_31, u_32, and u_33 units of product A, B, and C, respectively. The profits of products A, B, and C are p_1, p_2, and p_3 dollars per unit, respectively. Find the optimal assignment of operators that maximizes the profit. Let x_11, x_12, x_13 be 1 if products A, B, and C are assigned to operator P, respectively, and 0 otherwise. Let x_21, x_22, x_23 be 1 if products A, B, and C are assigned to operator Q, respectively, and 0 otherwise. Let x_31, x_32, x_33 be 1 if products A, B, and C are assigned to operator R, respectively, and 0 otherwise.Units produced: u_11 = 70, u_12 = 42, u_13 = 30; u_21 = 60, u_22 = 84, u_23 = 140; u_31 = 70, u_32 = 60, u_33 = 42. Profits per unit: p_1 = 3, p_2 = 2, p_3 = 4.",,"max 210x_11 + 84x_12 + 120x_13 + 180x_21 + 168x_22 + 560x_23 + 210x_31 + 120x_32 + 168x_33
subject to 
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    x_11 + x_21 + x_31 = 1
    x_12 + x_22 + x_32 = 1
    x_13 + x_23 + x_33 = 1
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{0,1}}",,Others without CSV - assignment Problem
"An IT company works on three different projects, viz. Web Development (Project A), Mobile App Development (Project B), and Data Analysis (Project C). There are three developers, viz. Dev1, Dev2, and Dev3, who are capable of working on any of the three projects. Developer Dev1 can complete u_11, u_12, and u_13 units of work on Projects A, B, and C, respectively. Developer Dev2 can complete u_21, u_22, and u_23 units of work on Projects A, B, and C, respectively. Developer Dev3 can complete u_31, u_32, and u_33 units of work on Projects A, B, and C, respectively. The profits from Projects A, B, and C are p_1, p_2, and p_3 dollars per unit, respectively. The task is to find the optimal assignment of developers to projects that maximizes profit. Let x_11, x_12, x_13 be 1 if Projects A, B, and C are assigned to Developer Dev1, respectively, and 0 otherwise. Let x_21, x_22, x_23 be 1 if Projects A, B, and C are assigned to Developer Dev2, respectively, and 0 otherwise. Let x_31, x_32, x_33 be 1 if Projects A, B, and C are assigned to Developer Dev3, respectively, and 0 otherwise.Units of work: u_11 = 50, u_12 = 30, u_13 = 25; u_21 = 45, u_22 = 60, u_23 = 90; u_31 = 60, u_32 = 50, u_33 = 40. Profits per unit: p_1 = 2, p_2 = 1, p_3 = 3.",,"max 100x_11 + 30x_12 + 75x_13 + 90x_21 + 60x_22 + 270x_23 + 120x_31 + 50x_32 + 120x_33
subject to 
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    x_11 + x_21 + x_31 = 1
    x_12 + x_22 + x_32 = 1
    x_13 + x_23 + x_33 = 1
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{0,1}}",,Others without CSV - assignment problem
"Within a leading aerospace engineering firm, there are three pivotal project tasks: Jet Engine Design (Task A), Avionics Systems (Task B), and Propulsion Technology (Task C). The firm employs three top engineers, viz. Engineer1, Engineer2, and Engineer3, each capable of advancing any of these tasks. Engineer1 can contribute u_11, u_12, and u_13 hours to Tasks A, B, and C, respectively. Engineer2 can devote u_21, u_22, and u_23 hours to Tasks A, B, and C, respectively. Engineer3 is able to allocate u_31, u_32, and u_33 hours to Tasks A, B, and C, respectively. The potential breakthroughs and innovations from Tasks A, B, and C carry an estimated value of p_1, p_2, and p_3 dollars per hour, respectively. The task is to determine the optimal assignment of engineers to tasks to enhance project outcomes and innovation. Define x_11, x_12, x_13 as 1 if Tasks A, B, and C are assigned to Engineer1, respectively, and 0 otherwise. Define x_21, x_22, x_23 as 1 if Tasks A, B, and C are assigned to Engineer2, respectively, and 0 otherwise. Define x_31, x_32, x_33 as 1 if Tasks A, B, and C are assigned to Engineer3, respectively, and 0 otherwise.Hours allocated: u_11 = 60, u_12 = 40, u_13 = 35; u_21 = 55, u_22 = 70, u_23 = 85; u_31 = 65, u_32 = 55, u_33 = 50. Value per hour: p_1 = 10, p_2 = 8, p_3 = 12.",,"max  600x_11 + 320x_12 + 420x_13 + 550x_21 + 560x_22 + 1020x_23 + 650x_31 + 440x_32 + 600x_33 

subject to

x_11 + x_12 + x_13 = 1,

x_21 + x_22 + x_23 = 1,

x_31 + x_32 + x_33 = 1,

x_11 + x_21 + x_31 = 1,

x_12 + x_22 + x_32 = 1,

x_13 + x_23 + x_33 = 1

x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{0,1}}",,Others without CSV - assignment problem
"Picture this: a vibrant music festival with three stages__ock and Roll Stage (Stage A), Jazz Lounge (Stage B), and Electronic Vibes (Stage C). Three enthusiastic stage managers, Sam, Jamie, and Alex, are all pumped up to bring their best game. Sam can set up u_11, u_12, and u_13 shows on Stages A, B, and C, respectively. Jamie is ready to handle u_21, u_22, and u_23 shows on Stages A, B, and C, respectively. Alex can rock u_31, u_32, and u_33 shows on Stages A, B, and C, respectively. The hype and ticket sales from Stages A, B, and C are expected to generate p_1, p_2, and p_3 dollars per show, respectively. The goal is to assign the stage managers so the festival is a hit, maximizing both enjoyment and revenue. Define x_11, x_12, x_13 as 1 if Stages A, B, and C are managed by Sam, respectively, and 0 otherwise. Define x_21, x_22, x_23 as 1 if Stages A, B, and C are managed by Jamie, respectively, and 0 otherwise. Define x_31, x_32, x_33 as 1 if Stages A, B, and C are managed by Alex, respectively, and 0 otherwise.Shows managed: u_11 = 50, u_12 = 40, u_13 = 30; u_21 = 60, u_22 = 70, u_23 = 80; u_31 = 70, u_32 = 60, u_33 = 50. Revenue per show: p_1 = 30, p_2 = 25, p_3 = 35.",,"max 1500x_11 + 1000x_12 + 1050x_13 + 1800x_21 + 1750x_22 + 2800x_23 + 2100x_31 + 1500x_32 + 1750x_33
x_11 + x_12 + x_13 = 1
x_21 + x_22 + x_23 = 1
x_31 + x_32 + x_33 = 1
x_11 + x_21 + x_31 = 1
x_12 + x_22 + x_32 = 1
x_13 + x_23 + x_33 = 1
x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{0,1}}",,Others without CSV - assignment problem
"Consider two cities, A and B. In city A, there is a factory that produces chocolate, which needs to be transported to a Walmart store located in city B. However, due to the absence of a direct route between A and B, the transportation vehicles must pass through other cities. The available routes involve passing through either city C or city D. The problem is to transport a total of 10 units of chocolate from city A to city B. The roads from city A to cities C and D can handle a maximum of c_11 and c_12 units of chocolate, respectively, and the transportation cost per unit on these routes is t_11 and t_12, respectively. Similarly, the roads from cities C and D to city B can handle a maximum of c_21 and c_22 units of chocolate, respectively, with transportation costs per unit being t_21 and t_22. The objective is to determine the optimal allocation of chocolate transportation that minimizes the total cost. The decision variables x_11 and x_12 represent the amount of chocolate transported on the roads from city A to cities C and D, respectively. The decision variables x_21 and x_22 represent the amount of chocolate transported on the roads from cities C and D to city B, respectively.capacity information: c_11 = 4, c_12 = 7, c_21 = 8, c_22 = 6; transportation cost per unit: t_11 = 5, t_12 = 7, t_21 = 8, t_22 = 5",,"min 5x_11 + 7x_12 + 8x_21 + 5x_22
subject to 
    x_11 + x_12 = 10
    x_21 + x_22 = 10
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_11 <= 4
    x_12 <= 7
    x_21 <= 8
    x_22 <= 6
    x_11, x_12, x_21, x_22 ∈ R+",,Others without CSV - minimum-cost flow problem
"Consider a scenario involving two research laboratories, L and M. Laboratory L is conducting a series of experiments and needs to send specialized samples to laboratory M for further analysis. Due to the lack of a direct transportation route between L and M, the samples must be routed through intermediate facilities. Specifically, the samples can be transported from laboratory L to laboratory M via either intermediate laboratory P or intermediate laboratory Q. A total of 10 units of samples need to be transported from laboratory L to laboratory M. The transportation routes from laboratory L to laboratories P and Q can each handle a maximum of c_11 and c_12 units of samples, respectively, with associated costs of t_11 and t_12 per unit. Similarly, the routes from laboratories P and Q to laboratory M can each accommodate a maximum of c_21 and c_22 units of samples, respectively, with costs of t_21 and t_22 per unit. The objective is to optimize the distribution of samples across these routes to minimize the total transportation cost. The decision variables x_11 and x_12 represent the amount of samples transported from laboratory L to laboratories P and Q, respectively. The decision variables x_21 and x_22 represent the amount of samples transported from laboratories P and Q to laboratory M, respectively.capacity information: c_11 = 7, c_12 = 4, c_21 = 6, c_22 = 8; transportation cost per unit: t_11 = 8, t_12 = 7, t_21 = 4, t_22 = 6",,"min 8x_11 + 7x_12 + 4x_21 + 6x_22
subject to 
    x_11 + x_12 = 10
    x_21 + x_22 = 10
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_11 <= 7
    x_12 <= 4
    x_21 <= 6
    x_22 <= 8
     x_11, x_12, x_21, x_22 ∈ R+",,Others without CSV - minimum-cost flow problem
"Consider two cities, X and Y. In city X, there is a manufacturer of textiles, which needs to be transported to a retail store located in city Y. However, there is no direct road connecting cities X and Y, so the delivery vehicles must pass through other intermediary cities. The potential intermediary cities are M, N, and O. The goal is to transport a total of 25 units of textiles from city X to city Y. The roads from city X to cities M, N, and O can handle a maximum of c_11, c_12, and c_13 units of textiles, respectively, and the transportation cost per unit on these routes is t_11, t_12, and t_13, respectively. Similarly, the roads from cities M, N, and O to city Y can handle a maximum of c_21, c_22, and c_23 units of textiles, respectively, with transportation costs per unit being t_21, t_22, and t_23. The objective is to determine the optimal allocation of textile transportation that minimizes the total cost. The decision variables x_11, x_12, and x_13 represent the amount of textiles transported on the roads from city X to cities M, N, and O, respectively. The decision variables x_21, x_22, and x_23 represent the amount of textiles transported on the roads from cities M, N, and O to city Y, respectively.Capacity Information: c_11 = 7, c_12 = 12, c_13 = 8, c_21 = 4, c_22 = 9, c_23 = 6 Transportation Cost Per Unit: t_11 = 24, t_12 = 19, t_13 = 21, t_21 = 26, t_22 = 30, t_23 = 23",,"min 24x_11 + 19x_12 + 21x_13 + 26x_21 + 30x_22 + 23x_23
subject to
    x_11 + x_12 + x_13 = 25
    x_21 + x_22 + x_23 = 25
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_13 - x_23 = 0
    x_11 <= 7
    x_12 <= 12
    x_13 <= 8
    x_21 <= 4
    x_22 <= 9
    x_23 <= 6
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,Others without CSV - minimum-cost flow problem
"Consider two cities, R and S. In city R, there is a farm that produces fresh produce, which needs to be transported to a supermarket chain located in city S. However, there is no direct road connecting cities R and S, so the delivery vehicles must pass through other intermediary cities. The potential intermediary cities are U, V, and W. The goal is to transport a total of 20 units of fresh produce from city R to city S. The roads from city R to cities U, V, and W can handle a maximum of c_11, c_12, and c_13 units of fresh produce, respectively, and the transportation cost per unit on these routes is t_11, t_12, and t_13, respectively. Similarly, the roads from cities U, V, and W to city S can handle a maximum of c_21, c_22, and c_23 units of fresh produce, respectively, with transportation costs per unit being t_21, t_22, and t_23. The objective is to determine the optimal allocation of fresh produce transportation that minimizes the total cost. The decision variables x_11, x_12, and x_13 represent the amount of fresh produce transported on the roads from city R to cities U, V, and W, respectively. The decision variables x_21, x_22, and x_23 represent the amount of fresh produce transported on the roads from cities U, V, and W to city S, respectively.Capacity Information: c_11 = 3, c_12 = 7, c_13 = 5, c_21 = 6, c_22 = 11, c_23 = 10 Transportation Cost Per Unit: t_11 = 18, t_12 = 30, t_13 = 16, t_21 = 20, t_22 = 34, t_23 = 29",,"min 18x_11 + 30x_12 + 16x_13 + 20x_21 + 34x_22 + 29x_23
subject to 
    x_11 + x_12 + x_13 = 20
    x_21 + x_22 + x_23 = 20
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_13 - x_23 = 0
    x_11 <= 3
    x_12 <= 7
    x_13 <= 5
    x_21 <= 6
    x_22 <= 11
    x_23 <= 10
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,Others without CSV - minimum-cost flow problem
"In a well-known coffee shop, there are two signature drinks (D1 and D2), each bringing in a profit of w_1 and w_2 respectively. The demand for each drink varies independently. The coffee shop's goal is to decide which customer orders to fulfill during a specific busy period [0,10] to maximize the total expected revenue, based on the available ingredients. The current inventory for these drinks is c_1 and c_2 respectively. During this period, restocking is not possible, and no additional supplies are expected. Customers interested in ordering D1 and D2 arrive at the shop according to a Poisson process, with arrival rates a_1 and a_2 respectively. The decision variables y_1 and y_2 represent the number of orders the coffee shop plans to fulfill for each of the two drinks, and these variables must be positive integers.Profit information: w_1 = 30, w_2 = 19.8; Inventory information: c_1 = 72, c_2 = 68; Demand information: a_1 = 6, a_2 = 8.",,"max 30y_1 + 19.8y_2
subject to
    y_1 <= 72
    y_2 <= 68
    y_1 <= 60
    y_2 <= 80
    y_1,y_2 ∈ Z+",,Others without CSV -Network Revenue Management
"In a popular bakery, there are three specialty pastries (S1, S2, S3), each offering a profit of w_1, w_2, and w_3 respectively. The demand for each pastry is distinct and varies from customer to customer. The bakery's goal is to determine which customer orders to fulfill during a single busy morning to maximize the total revenue, based on the limited quantity of pastries available. The current stock for these pastries is c_1, c_2, and c_3 respectively. Restocking is not an option during this period, and no additional batches will be made. Customers looking to purchase P1, P2, and P3 arrive at the bakery according to a Poisson process, with arrival rates a_1, a_2, and a_3 respectively. The decision variables y_1, y_2, and y_3 represent the number of orders the bakery plans to fulfill for each of the three pastries, and these must be positive integers.Profit information: w_1 = 20.5,w_2 = 8.8,w_3 = 29.7; Inventory information: c_1 = 48, c_2 = 71, c_3 =30; Demand information: a_1 = 31, a_2 = 80, a_3 = 29.",,"max 20.5y_1 + 8.8y_2 + 29.7y_3
subject to 
    y_1 <= 48
    y_2 <= 71
    y_3 <= 30
    y_1 <= 31
    y_2 <= 80
    y_3 <= 29
    y_1, y_2, y_3 ∈ Z+",,Others without CSV -Network Revenue Management
"There are three best-selling items (P1, P2, P3) on Amazon with the profit w_1,w_2,w_3.There is an independent demand stream for each of the products. The objective of the company is to decide which demands to be fufilled over a __ite sales horizon [0,10] to maximize the total expected revenue from __ed initial inventories. The on-hand inventories for the three items are c_1,c_2,c_3 respectively. During the sales horizon, replenishment is not allowed and there is no any in-transit inventories. Customers who want to purchase P1,P2,P3 arrive at each period accoring to a Poisson process with a_1,a_2,a_3 the arrival rates respectively. Decision variables y_1,y_2,y_3 correspond to the number of requests that the firm plans to fulfill for product 1,2,3. These variables are all positive integers.Profit information: w_1 = 20,w_2 = 10,w_3 = 30; Inventory information: c_1 = 50, c_2 = 70, c_3 =30; Demand information: a_1 = 3, a_2 = 8, a_3 = 2.",,"max 20y_1 + 10y_2 + 30y_3
subject to 
    y_1 <= 50
    y_2 <= 70
    y_3 <= 30
    y_1 <= 30
    y_2 <= 80
    y_3 <= 20
    y_1, y_2, y_3 ∈ Z+",,Others without CSV -Network Revenue Management
